,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
0,,,1,Living,Ground,5.03,3.58,Hardwood Floor,Crown Moulding,Brick Fireplace,2,Dining,Ground,4.55,3.15,Hardwood Floor,Crown Moulding,Overlook Patio,3,Kitchen,Ground,3.73,2.26,Tile Floor,,,4,Breakfast,Ground,2.34,2.01,Tile Floor,W/O To Deck,Skylight,5,Master,2nd,5.54,3.68,Hardwood Floor,Double Closet,O/Looks Garden,6,2nd Br,2nd,5.56,3.05,Hardwood Floor,Closet,O/Looks Frontyard,7,Bathroom,2nd,,,4 Pc Bath,Renovated,,8,Bathroom,Bsmt,,,3 Pc Bath,Renovated,,9,Rec,Bsmt,4.47,3.61,Ceramic Floor,Combined W/Laundry,,10,Utility,Bsmt
0,,,1,Foyer,Main,2.84,2.54,Hardwood Floor,Closet,Leaded Glass,2,Living,Main,4.93,4.70,Hardwood Floor,Bay Window,Fireplace,3,Dining,Main,4.06,3.40,Hardwood Floor,Open Concept,W/O To Deck,4,Kitchen,Main,3.48,3.38,Hardwood Floor,Renovated,Open Concept,5,Master,2nd,4.04,3.91,Hardwood Floor,Large Closet,Leaded Glass,6,2nd Br,2nd,3.53,3.15,Hardwood Floor,W/W Closet,O/Looks Backyard,7,3rd Br,2nd,3.58,2.64,Hardwood Floor,Closet,,8,Play,2nd,2.51,2.24,Hardwood Floor,Window,,9,Rec,Lower,3.63,3.00,,,,10,Laundry,Lower
